Attack,Attack_class,Author,Country,Description,Target,Target_class,Year,dat
Malware,CC,?,>1,Security researchers discover using the BSSID (Basic Service Set Identifier) to geo-locate infected hosts.,Multiple targets,Y Multiple Industries,2020,22/12/2020
Malware,CC,Conti,US,Gastroenterology Consultants Ltd have some data dumped from the Conti ransomware group,Gastroenterology Consultants Ltd,Q Human health and social work activities,2020,23/12/2020
Malware,CC,Mount Locker,US,"Dassault Falcon Jet discloses a data breach after a Mount Locker ransomware attack, that may have led to the exposure of personal information belonging to current and former employees, as well as their spouses and dependents.",Dassault Falcon Jet,C Manufacturing,2020,31/12/2020
Malware,CC,Mount Locker,UK,"Amey Plc, the British company providing infrastructure support services reveals to have suffered a ransomware attack since mid-December 2020.",Amey PLC,N Administrative and support service activities,2021,01/01/2021
Malware,CE,Thallium,KR,Researchers from ESTsecurity reveal that North Korean hacking group Thallium has targeted users of a private stock investment messenger service.,Users of a private stock investment messenger service,Y Multiple Industries,2021,03/01/2021
Unknown,CC,?,MX,"This week a threat actor leaks the data of 10,000 Mexico-based American Express credit cardholders on a forum.",Mexico-based American Express credit cardholders,K Financial and insurance activities,2021,03/01/2021
Unknown,CC,?,MX,The same threat actor leaks the data of several Santander credit cardholders,Mexico-based Santander credit cardholders,K Financial and insurance activities,2021,03/01/2021
Unknown,CC,?,MX,The same threat actor leaks the data of several Banamex credit cardholders,Mexico-based Banamex credit cardholders,K Financial and insurance activities,2021,03/01/2021
Account Takeover,CC,?,>1,"A new SMS text phishing (smishing) campaign pretends to be from PayPal, stating that the victim's account has been permanently limited unless they verify it by clicking on a link.",PayPal users,X Individual,2021,03/01/2021
Unknown,CC,?,CN,"Researchers from Cyble discover a trove of more than 200 million records of Chinese citizens for sale on the dark web. The alleged leaks could be related to Gongan County, Weibo, and QQ.",200 million records of Chinese citizens,Y Multiple Industries,2021,03/01/2021
Unknown,CC,?,CA,Aurora Cannabis says it experienced a “cybersecurity incident” over the holidays. The incident took place on Dec. 25.,Aurora Cannabis,Q Human health and social work activities,2021,04/01/2021
Unknown,CC,?,FR,"Exclusive Networks reveals it has been hit by a cyber breach, affecting the cyber security distributor's systems across five countries (UK, US, France, Singapore, and the UAE) with the breach resulting in unauthorized access to data.",Exclusive Networks,N Administrative and support service activities,2021,04/01/2021
Malware,CC,"APT27, AKA TG-3390, Emissary Panda, BRONZE UNION, Iron Tiger, and LuckyMouse.",>1,"Researchers from Profero and Security Joes reveal the details of a ransomware campaign involving APT28, a Chinese group normally involved in cyber espionage operations.",At least five companies in the online gambling sector,R Arts entertainment and recreation,2021,04/01/2021
Unknown,CC,Multiple threat actors,>1,"A research from Kela reveals finds nearly 1 million compromised accounts pertaining to gaming clients and employees in the dark web, with 50% of them offered for sale.",Multiple game companies,R Arts entertainment and recreation,2021,04/01/2021
Malware,CC,FIN7,>1,Researchers at Morphisec Labs publish details about a malware variant called JSSLoader used by the FIN7 hacking group.,Multiple targets,Y Multiple Industries,2021,04/01/2021
Vulnerability,CC,?,US,Multiple code repositories from Nissan North America become public after the company leaves an exposed Git server protected with default access credentials. The entire collection is around 20 gigabytes large and contains source code for mobile apps and various tools used by Nissan.,Nissan North America,C Manufacturing,2021,05/01/2021
Malware,CC,?,>1,"Researchers from Intezer discover a new remote access trojan, dubbed ElectroRAT, written in Golang, that lures cryptocurrency users to download trojanized apps on Windows, Mac and Linux machines by promoting the apps in dedicated online forums and on social media.",Cryptocurrency users,V Fintech,2021,05/01/2021
Targeted Attack,CE,Earth Wendigo,TW,"Researchers from Trend Micro discover a new campaign targeting several organizations, including government organizations, research institutions and universities in Taiwan, aiming to exfiltrate emails from targeted organizations via the injection of JavaScript backdoors to a webmail system that is widely-used in Taiwan.","Government organizations, research institutions and universities in Taiwan",Y Multiple Industries,2021,05/01/2021
Malware,CC,Babuk Locker,>1,"Several security researchers discover Babuk Locker, the first ransomware operation of 2021.",Multiple targets,Y Multiple Industries,2021,05/01/2021
Malware,CC,Avaddon,BE,The Belgian consultancy firm Finalyse emerges unscathed from an Avaddon ransomware attack being able to restore the data from a backup despite the group leaks 98 GB of data.,Finalyse,N Administrative and support service activities,2021,05/01/2021
Account Takeover,CC,?,AU,The Australian Cyber Security Centre (ACSC) warns about a social engineering campaign featuring phishing emails and scam calls that impersonate the ACSC.,Single individuals in Australia,X Individual,2021,06/01/2021
Targeted Attack,CE,"APT37 AKA ScarCruft, Reaper, and Group123",KR,"Researchers from Malwarebytes reveal the details of a campaign carried out by the North Korean group APT37, targeting the South Korean government via the RokRat trojan.",South Korean government,"O Public administration and defence, compulsory social security",2021,06/01/2021
